"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Автотесты","Раздел Игр","0","0","3","0","0"
"","Автотесты","Разделы Активность сообщества","0","0","1","0","0"
"","Автотесты","Корзина игр","0","0","2","0","0"
